Tempo (uS);Corrente;Corrente;;Corrente truncada
866486903;-906,25;-145;;-906
866490602;-706,25;-113;;-706
866494290;643,75;103;;643
866497984;931,25;149;;931
866501670;-300;-48;;-300
866505368;-1012,5;-162;;-1012
866509063;-43,75;-7;;-43
866512758;987,5;158;;987
866516443;406,25;65;;406
866520140;-862,5;-138;;-862
866523825;-750;-120;;-750
866527513;593,75;95;;593
866531198;943,75;151;;943
866534883;-275;-44;;-275
866538574;-1043,75;-167;;-1043
866542262;-100;-16;;-100
866545963;968,75;155;;968
866549635;456,25;73;;456
866553329;-837,5;-134;;-837
866557004;-787,5;-126;;-787
866560693;550;88;;550
866564388;981,25;157;;981
866568076;-218,75;-35;;-218
866571764;-1018,75;-163;;-1018
866575461;-156,25;-25;;-156
866579148;943,75;151;;943
866582815;506,25;81;;506
866586495;-762,5;-122;;-762
866590189;-837,5;-134;;-837
866593876;462,5;74;;462
866597567;1000;160;;1000
866601240;-168,75;-27;;-168
866604943;-987,5;-158;;-987
866608628;-218,75;-35;;-218
866612322;968,75;155;;968
866616006;575;92;;575
866619694;-750;-120;;-750
866623391;-875;-140;;-875
866627063;437,5;70;;437
866630757;1018,75;163;;1018
866634443;-93,75;-15;;-93
866638140;-981,25;-157;;-981
866641825;-281,25;-45;;-281
866645513;912,5;146;;912
866649198;612,5;98;;612
866652883;-712,5;-114;;-712
866656574;-925;-148;;-925
866660263;393,75;63;;393
866663964;1012,5;162;;1012
866667635;-43,75;-7;;-43
866671329;-981,25;-157;;-981
866675004;-318,75;-51;;-318
866678693;918,75;147;;918
866682388;675;108;;675
866686076;-662,5;-106;;-662
866689764;-950;-152;;-950
866693461;350;56;;350
866697148;1018,75;163;;1018
866700815;0;0;;0
866704495;-1006,25;-161;;-1006
866708189;-400;-64;;-400
866711876;856,25;137;;856
866715567;725;116;;725
866719240;-612,5;-98;;-612
866722943;-956,25;-153;;-956
866726628;262,5;42;;262
866730322;1018,75;163;;1018
866734006;68,75;11;;68
866737694;-1012,5;-162;;-1012
866741391;-450;-72;;-450
866745063;843,75;135;;843
866748757;781,25;125;;781
866752443;-568,75;-91;;-568
866756140;-962,5;-154;;-962
866759825;237,5;38;;237
866763513;1037,5;166;;1037
866767198;125;20;;125
866770883;-1006,25;-161;;-1006
866774574;-500;-80;;-500
866778263;806,25;129;;806
866781964;818,75;131;;818
866785635;-512,5;-82;;-512
866789329;-987,5;-158;;-987
866793004;162,5;26;;162
866796693;1018,75;163;;1018
866800388;181,25;29;;181
866804076;-981,25;-157;;-981
866807764;-556,25;-89;;-556
866811461;743,75;119;;743
866815148;856,25;137;;856
866818815;-481,25;-77;;-481
866822495;-1000;-160;;-1000
866826189;106,25;17;;106
866829876;1018,75;163;;1018
866833567;256,25;41;;256
866837240;-956,25;-153;;-956
866840943;-606,25;-97;;-606
866844628;718,75;115;;718
866848322;881,25;141;;881
866852006;-412,5;-66;;-412
866855694;-1012,5;-162;;-1012
866859391;81,25;13;;81
866863063;1006,25;161;;1006
866866757;300;48;;300
866870443;-937,5;-150;;-937
866874140;-662,5;-106;;-662
866877825;693,75;111;;693
866881513;912,5;146;;912
866885198;-356,25;-57;;-356
866888883;-1043,75;-167;;-1043
866892574;25;4;;25
866896262;1012,5;162;;1012
866899964;362,5;58;;362
866903635;-906,25;-145;;-906
866907329;-700;-112;;-700
866911004;643,75;103;;643
866914693;931,25;149;;931
866918388;-300;-48;;-300
866922076;-1050;-168;;-1050
866925764;-37,5;-6;;-37
866929461;975;156;;975
866933148;412,5;66;;412
866936815;-850;-136;;-850
866940495;-775;-124;;-775
866944189;600;96;;600
866947876;975;156;;975
866951567;-262,5;-42;;-262
866955240;-1037,5;-166;;-1037
866958943;-106,25;-17;;-106
866962628;968,75;155;;968
